天官赐福,1.8亿,302.8万,581.2万,5728032
我是不白吃,1.1亿,1.7万,33.4万,1694964
汉化日记 第二季,1419.3万,13.1万,169.9万,1682307
我家大师兄是个反派,5063.2万,20万,279.9万,895759
如果历史是一群喵 4-5季,3116.8万,16.4万,182.2万,595701
秦侠,2983.4万,12.8万,80.8万,494741
剑网3·侠肝义胆沈剑心之长漂,1932.2万,5.4万,258.5万,453232
凡人修仙传,1.7亿,119.4万,290.5万,379634
拾忆长安·明月几时有,1232.5万,4.3万,75.1万,247828
王者？别闹！,2.9亿,72.6万,182.6万,164804
阿衰 第三季,1067.1万,1.9万,67.3万,121317
汉化日记,5261.6万,49.3万,162.2万,91989
真理面具 动态漫,169.2万,6461,5.5万,90623
芯觉,978.7万,4.9万,65.7万,89512
非人哉,3.4亿,113.1万,312.3万,83614
凹凸世界 第三季,1.8亿,396.5万,197.8万,82134
镇魂街 第一季,4.3亿,346.7万,385万,81171
刺客伍六七,2.7亿,219.3万,516.1万,79728
罗小黑战记,2.4亿,157.1万,442万,68864
灵笼,2.9亿,454.9万,635.1万,67322
伍六七之最强发型师,2.3亿,188.9万,628.5万,65754
我家大师兄脑子有坑,1.4亿,69.7万,225.8万,63534
一人之下 第二季,3亿,518.2万,402.1万,56624
仙王的日常生活,3.6亿,346.9万,580.6万,55839
如果历史是一群喵 1-3季,1.1亿,41.2万,179.9万,52132
我为歌狂之旋律重启,1157.3万,10.8万,53.1万,49508
元龙,2.6亿,237.4万,388.8万,47969
战双帕尼尼,670.5万,4.8万,41.4万,47871
一禅小和尚,3663.9万,8万,40.6万,45855
雾山五行,9405万,133.9万,471.3万,35105
百妖谱,1亿,99.5万,339.8万,34983
梦幻书院 第四季,141.5万,5450,49.3万,33934
肥志百科,153.7万,5672,12.6万,33380
通灵妃,8963.7万,121万,142.1万,33277
少女前线 人形小剧场 第二季,414.1万,3.6万,65万,32495
天宝伏妖录,8489.4万,82.3万,200.6万,30153
镇魂街 第二季,1.7亿,122.8万,649.3万,30062
阿衰,7214万,10.5万,69.8万,29148
完美世界 动态漫,305.3万,1.1万,3.7万,28877
一人之下,1.5亿,185.8万,348.3万,26892
剑网3·侠肝义胆沈剑心,8546.5万,84.9万,177万,25382
那年那兔那些事儿 第一季,1亿,211.2万,171.6万,24948
妖神记,1.4亿,92.9万,76万,24100
少年歌行,9646.6万,125.7万,189.8万,24026
大理寺日志,1.2亿,174万,323.4万,22677
京剧猫 第四季,941.5万,14万,45.4万,22208
斗破苍穹之大主宰 动态漫 第二季,148.1万,2332,1.3万,22040
神魄,424.9万,16.8万,16.7万,21980
宿身小人,309万,5432,11.6万,21466
凹凸世界 第一季,7931.9万,93.8万,116.2万,20388
