咒术回战,1.3亿,85万,477.4万,2740244
总之就是非常可爱,8240.6万,155.5万,387.1万,1451821
魔女之旅,3314.1万,46.6万,199.2万,1072266
全员恶玉,6020.7万,44.6万,297万,891773
炎炎消防队 贰之章,4400.2万,36万,256.5万,603010
鬼灭之刃（中配）,5984.5万,37.6万,783.6万,520113
成神之日,3118.6万,32.4万,200.8万,498080
在地下城寻求邂逅是否搞错了什么 第三季,1972.8万,14.5万,248.1万,454496
我立于百万生命之上,2716.8万,21万,148.9万,387303
在魔王城说晚安,3345.3万,25.4万,209.1万,325246
请问您今天要来点兔子吗？BLOOM,755.6万,13.1万,238.2万,313150
无能力者娜娜,1881.2万,15.8万,115.4万,275216
关于我转生变成史莱姆这档事,3亿,431.9万,615.9万,265848
鬼灭之刃,5.7亿,857万,920.5万,261152
你与我最后的战场，亦或是世界起始的圣战,2944.6万,24万,181.7万,241873
Love Live！虹咲学园学园偶像同好会,292.1万,8.1万,23.1万,222486
半妖的夜叉姬,1815.3万,27.2万,199.3万,190577
熊熊勇闯异世界,2410万,25.2万,122.5万,181918
被神捡到的男人,2512.2万,22.4万,130.8万,157853
突击莉莉 BOUQUET,759.1万,10.9万,70.2万,148408
约战狂三外传,875.7万,6.1万,434.2万,144500
博人传 火影忍者新时代,2.1亿,404.9万,203.7万,140129
催眠麦克风-Division Rap Battle- Rhyme Anima,773万,18.6万,59.1万,115185
忧国的莫里亚蒂,1002.7万,9.8万,94.8万,108878
名侦探柯南,1.7亿,445.8万,249.4万,104052
黑色四叶草,1.6亿,194.3万,192.1万,85338
OVERLORD,3.1亿,353万,473.8万,80870
OVERLORD Ⅲ,3亿,363万,486.2万,79424
OVERLORD Ⅱ,2.8亿,376.1万,472.1万,72501
小林家的龙女仆,2.4亿,529.3万,632.7万,71240
One Room 第三季,841.8万,6.2万,177.3万,62233
JOJO的奇妙冒险 黄金之风,3.3亿,373.6万,395.6万,59210
战翼的希格德莉法,365.6万,4.3万,41.2万,58711
约定的梦幻岛,5551.4万,75.3万,294.4万,58206
攀岩少女！,271.5万,2.7万,29.9万,48128
体操武士,222.4万,2万,27.4万,46892
勇者斗恶龙 达伊的大冒险,171.3万,1.9万,17.9万,39874
黄金神威 第三季,335.8万,2.4万,28.7万,39774
与汪汪喵喵同居的开心日常,104.9万,988,5.1万,39581
王之逆袭：意志的继承者,337.1万,1.6万,39.2万,36452
碧蓝之海,8318.6万,82.9万,279.1万,34877
炎炎消防队,8230.3万,83.6万,234万,31516
工作细胞,1.8亿,418.6万,706.4万,30929
精灵宝可梦 日月,1.3亿,194.1万,85.1万,26642
IDOLiSH7-偶像星愿- Second BEAT!,300.1万,6.6万,50.3万,25621
弹丸论破3 -绝望篇-,3475.6万,83.9万,106.6万,25040
小碧蓝幻想！,154万,4189,7.2万,24965
阿松 第三季,305.2万,3.6万,64.3万,24825
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,1.6亿,344.2万,691.6万,23052
